"Building.Name","Property.Type","Property_Size_in_sq_ft","Bedroom","Bathroom","Amount_of_Facilities","Parking_Lot","Land.Title","Tenure.Type","Price_in_RM"
"Desa Permata Ruby Block 17","Apartment",700,3,2,2,1,"Non Bumi Lot","Freehold",260000
"Desa Permai Indah Apartment","Apartment",970,3,2,6,1,"Non Bumi Lot","Leasehold",300000
"One Imperial","Condominium",1200,3,2,6,2,"Non Bumi Lot","Freehold",555000
"Pangsapuri Bukit Beruang Bestari (University View)","Apartment",900,3,2,7,1,"Non Bumi Lot","Freehold",290000
"Vantage Point","Condominium",1021,3,2,2,0,"Non Bumi Lot","Freehold",339000
"Puncak Banyan","Condominium",810,3,2,4,1,"Non Bumi Lot","Freehold",288000
"South City Condominium","Condominium",1046,3,2,7,1,"Non Bumi Lot","Leasehold",220000
"Razak City Residences","Condominium",1045,3,3,10,1,"Non Bumi Lot","Leasehold",560000
"Melody Homes","Apartment",700,3,2,8,1,"Non Bumi Lot","Freehold",380000
"Melody Homes","Apartment",700,3,2,8,1,"Non Bumi Lot","Freehold",340000
"One Foresta @ Bayan Lepas","Condominium",900,3,2,0,2,"Non Bumi Lot","Freehold",400000
"Melody Homes","Apartment",700,3,2,8,1,"Non Bumi Lot","Freehold",350000
"BJ Court Condominium","Condominium",750,3,2,6,1,"Non Bumi Lot","Freehold",250000
"Kejora","Flat",650,3,2,0,0,"Non Bumi Lot","Freehold",260000
"Eco Bloom @ Eco Meadows","Condominium",800,2,2,8,0,"Non Bumi Lot","Freehold",399000
"Residensi Adelia","Condominium",1082,3,3,10,1,"Non Bumi Lot","Freehold",329000
"Sunshine Tower","Condominium",1050,3,2,3,1,"Non Bumi Lot","Freehold",550000
"Widuri Apartment (Butterworth)","Apartment",750,3,2,0,1,"Non Bumi Lot","Leasehold",190000
"Taman Sungai Batu","Flat",500,2,1,0,0,"Bumi Lot","Freehold",125000
"La Vista Condominiums","Condominium",1539,4,3,11,2,"Non Bumi Lot","Freehold",538000
"Relau Vista","Apartment",800,3,2,7,1,"Non Bumi Lot","Freehold",320000
"Relau Vista","Apartment",800,3,2,7,1,"Non Bumi Lot","Freehold",303000
"Kingfisher Series Condominium","Condominium",800,3,2,0,0,"Non Bumi Lot","Freehold",320000
"Flat Taman Perling","Apartment",550,2,2,0,0,"Non Bumi Lot","Leasehold",150000
"Vista Perdana (Butterworth)","Apartment",904,3,2,6,1,"Non Bumi Lot","Leasehold",270000
"Puncak Gloxinia","Condominium",1000,3,2,6,1,"Bumi Lot","Freehold",300000
"Arte Plus Jalan Ampang","Service Residence",622,1,1,5,1,"Non Bumi Lot","Leasehold",570000
"Casa Impian","Apartment",800,3,2,6,1,"Non Bumi Lot","Freehold",420000
"Molek Regency","Condominium",640,1,1,11,0,"Non Bumi Lot","Freehold",348000
"Pangsapuri Seri Pinang (Seri Kembangan)","Apartment",922,3,2,8,1,"Non Bumi Lot","Freehold",365000
"Horizon Residence (Dwi Mutiara)","Apartment",1045,3,2,10,0,"Non Bumi Lot","Freehold",420000
"Impian Heights","Condominium",2293,5,4,14,2,"Non Bumi Lot","Freehold",547000
"Nusavilla","Condominium",1722,4,2,9,0,"Non Bumi Lot","Freehold",488000
"Simfoni @ Eco Majestic","Apartment",760,3,2,13,1,"Non Bumi Lot","Freehold",170000
"Desa Airmas","Condominium",1000,3,2,0,0,"Non Bumi Lot","Freehold",530000
"Ivory Residence","Condominium",1288,3,2,7,0,"Non Bumi Lot","Freehold",320000
"Pandan Residence","Service Residence",950,3,2,8,2,"Non Bumi Lot","Freehold",443000
"Vista Lavender","Apartment",852,3,2,11,0,"Non Bumi Lot","Leasehold",250000
"Lagenda","Condominium",1378,2,3,7,1,"Non Bumi Lot","Leasehold",1500000
"Rex Apartment","Apartment",1000,3,2,5,1,"Non Bumi Lot","Leasehold",700000
"Luminari","Service Residence",947,2,2,10,2,"Non Bumi Lot","Freehold",480000
"Kaleidoscope","Service Residence",1257,3,2,10,2,"Non Bumi Lot","Leasehold",688000
"Amara Service Residences","Service Residence",1038,3,2,8,2,"Non Bumi Lot","Freehold",300000
"The Cantonment","Condominium",1000,3,2,8,2,"Non Bumi Lot","Freehold",1500000
"Straits Regency","Condominium",1600,4,3,6,0,"Non Bumi Lot","Freehold",780000
"Mira Residence","Condominium",1352,3,2,6,2,"Non Bumi Lot","Freehold",950000
"The Resident","Condominium",1171,3,2,11,1,"Non Bumi Lot","Leasehold",532000
"Ramah Pavilion","Condominium",1155,3,2,9,3,"Non Bumi Lot","Freehold",395000
"One Damansara","Condominium",1422,4,3,9,0,"Non Bumi Lot","Leasehold",578000
"Amara Service Residences","Service Residence",1012,3,2,10,2,"Non Bumi Lot","Freehold",320000
"Tribeca","Condominium",1432,3,2,7,2,"Non Bumi Lot","Leasehold",750000
"The Podium","Service Residence",933,3,2,5,1,"Non Bumi Lot","Leasehold",600000
"Royal Richmond Gold","Condominium",815,2,2,6,2,"Non Bumi Lot","Leasehold",575000
"HK Square","Service Residence",933,3,2,7,2,"Non Bumi Lot","Leasehold",495000
"Jazz Suites @ Vivacity","Condominium",1004,3,2,8,1,"Non Bumi Lot","Leasehold",715000
"De Lofts","Apartment",590,2,1,0,1,"Non Bumi Lot","Leasehold",500000
"Vista Lavender","Apartment",852,3,2,6,1,"Non Bumi Lot","Leasehold",299900
"Aprtment Lotus","Apartment",800,3,2,2,1,"Non Bumi Lot","Freehold",270000
"Edgecumbe House","Condominium",1000,3,2,0,1,"Non Bumi Lot","Freehold",510000
"Taman Orchard Heights","Flat",743,3,2,0,2,"Non Bumi Lot","Freehold",65000
"Summer Place","Condominium",1464,4,3,7,2,"Non Bumi Lot","Leasehold",930000
"The Cantonment","Condominium",1000,3,2,8,2,"Non Bumi Lot","Freehold",1500000
"Straits Regency","Condominium",1600,4,3,6,0,"Non Bumi Lot","Freehold",780000
"Mira Residence","Condominium",1352,3,2,6,2,"Non Bumi Lot","Freehold",950000
"The Resident","Condominium",1171,3,2,11,1,"Non Bumi Lot","Leasehold",532000
"Ramah Pavilion","Condominium",1155,3,2,9,3,"Non Bumi Lot","Freehold",395000
"One Damansara","Condominium",1422,4,3,9,0,"Non Bumi Lot","Leasehold",578000
"Amara Service Residences","Service Residence",1012,3,2,10,2,"Non Bumi Lot","Freehold",320000
"Tribeca","Condominium",1432,3,2,7,2,"Non Bumi Lot","Leasehold",750000
"The Podium","Service Residence",933,3,2,5,1,"Non Bumi Lot","Leasehold",600000
"Royal Richmond Gold","Condominium",815,2,2,6,2,"Non Bumi Lot","Leasehold",575000
"HK Square","Service Residence",933,3,2,7,2,"Non Bumi Lot","Leasehold",495000
"Jazz Suites @ Vivacity","Condominium",1004,3,2,8,1,"Non Bumi Lot","Leasehold",715000
"De Lofts","Apartment",590,2,1,0,1,"Non Bumi Lot","Leasehold",500000
"Vista Lavender","Apartment",852,3,2,6,1,"Non Bumi Lot","Leasehold",299900
"Aprtment Lotus","Apartment",800,3,2,2,1,"Non Bumi Lot","Freehold",270000
"Edgecumbe House","Condominium",1000,3,2,0,1,"Non Bumi Lot","Freehold",510000
"Taman Orchard Heights","Flat",743,3,2,0,2,"Non Bumi Lot","Freehold",65000
"Summer Place","Condominium",1464,4,3,7,2,"Non Bumi Lot","Leasehold",930000
"Raffel Tower","Condominium",1400,3,3,0,2,"Non Bumi Lot","Freehold",1030000
"Ria @ Amaniah Mulia","Apartment",1936,3,2,1,3,"Non Bumi Lot","Leasehold",470000
"Andaman @ Quayside","Condominium",2101,3,4,11,2,"Non Bumi Lot","Freehold",2680000
"The Academia @ South City Plaza","Service Residence",753,3,2,12,1,"Non Bumi Lot","Leasehold",220000
"Bandar Sierra Apartment","Apartment",712,2,1,5,1,"Non Bumi Lot","Leasehold",225000
"Jasmine Court","Apartment",925,3,2,6,1,"Non Bumi Lot","Freehold",368000
"Villa OUG","Condominium",1200,3,3,5,2,"Non Bumi Lot","Freehold",550000
"Sri Wira Apartment","Apartment",850,3,2,3,1,"Bumi Lot","Leasehold",320000
"Pangsapuri Puncak Saujana","Apartment",1055,3,2,14,2,"Non Bumi Lot","Freehold",268000
"Trifolia Apartment","Apartment",900,3,2,13,1,"Bumi Lot","Freehold",330000
"Seri Utama","Apartment",750,3,2,14,1,"Bumi Lot","Freehold",275000
"Residensi Zamrud @ Kajang","Condominium",1023,3,2,14,2,"Bumi Lot","Freehold",300000
"Asteria","Apartment",850,3,2,14,1,"Bumi Lot","Leasehold",266000
"Riviera Apartment","Apartment",883,3,2,4,0,"Non Bumi Lot","Leasehold",230000
"Bandar Baru Ampang","Apartment",732,3,1,1,0,"Non Bumi Lot","Leasehold",168000
"The 19 Usj City Mall","Condominium",800,3,2,4,1,"Non Bumi Lot","Freehold",300000
"Sri Mahligai","Condominium",1173,3,2,6,1,"Bumi Lot","Leasehold",355000
"Teratai Mewah Apartment","Apartment",650,3,1,3,0,"Non Bumi Lot","Freehold",185000
"Shineville Park","Condominium",1650,4,2,6,1,"Non Bumi Lot","Freehold",550000
"The Amber Residences","Service Residence",657,2,1,6,0,"Non Bumi Lot","Leasehold",430000
"Mutiara Perdana 1 (Lengkuk Kelicap)","Apartment",850,3,2,6,2,"Non Bumi Lot","Freehold",390000
"Nuri Apartment","Apartment",652,3,2,0,0,"Bumi Lot","Freehold",140000
"Endah Ria","Condominium",946,3,2,9,1,"Bumi Lot","Leasehold",386000
"Axis Pandan","Service Residence",600,1,1,6,0,"Non Bumi Lot","Leasehold",245000
"Selangor » Kajang","Condominium",1100,3,2,14,2,"Non Bumi Lot","Freehold",394000
"BM Residence","Condominium",1334,3,2,3,0,"Non Bumi Lot","Freehold",380000
"Puteri Palma Condominium","Condominium",2809,4,3,11,2,"Non Bumi Lot","Freehold",930000
"Medan Mutiara","Apartment",700,3,2,5,1,"Non Bumi Lot","Freehold",295000
"Villa Angsana","Condominium",1100,3,2,10,1,"Non Bumi Lot","Freehold",488000
"Halaman Kristal","Condominium",1100,3,2,0,2,"Non Bumi Lot","Freehold",530000
"Damansara PJ New Condo","Studio",400,1,1,14,1,"Non Bumi Lot","Leasehold",200500
"Taman Kheng Tian","Apartment",680,3,2,3,1,"Non Bumi Lot","Freehold",335000
"Relau Vista","Apartment",850,3,2,7,0,"Non Bumi Lot","Freehold",350000
"Damai Vista Apartment","Apartment",750,3,2,2,1,"Non Bumi Lot","Freehold",370000
"Pinang Emas Flat","Apartment",600,3,1,2,0,"Non Bumi Lot","Freehold",135000
"Palm Palladium","Condominium",1349,4,2,6,1,"Non Bumi Lot","Freehold",645000
"Damansara PJ New Condo","Studio",400,1,1,14,1,"Non Bumi Lot","Leasehold",200200
"Atmosfera","Condominium",1282,4,3,13,2,"Non Bumi Lot","Freehold",485000
"3rdNvenue","Service Residence",430,2,2,0,1,"Non Bumi Lot","Freehold",350000
"Damansara PJ New Condo","Studio",400,1,1,14,1,"Non Bumi Lot","Leasehold",200000
"Amverton Greens","Condominium",953,3,2,11,0,"Non Bumi Lot","Freehold",505000
"The Amber Residences","Service Residence",657,2,1,6,0,"Non Bumi Lot","Leasehold",468000
"Magna Ville Condominium","Condominium",1001,2,2,13,1,"Non Bumi Lot","Leasehold",280000
"Sri Dahlia Apartment (Kajang)","Apartment",957,3,2,5,1,"Bumi Lot","Freehold",250000
"Ampang Prima","Condominium",910,3,2,9,3,"Non Bumi Lot","Leasehold",360000
"Selangor » Kajang","Condominium",1100,3,2,14,2,"Non Bumi Lot","Freehold",390000
"Seasons Garden Residences @ Wangsa Maju","Apartment",775,3,2,6,1,"Non Bumi Lot","Leasehold",324000
"Residensi Aman","Condominium",850,3,2,9,2,"Non Bumi Lot","Freehold",325000
"M3 Residency","Service Residence",925,3,2,8,1,"Bumi Lot","Leasehold",365000
"Apartment Bukit Saujana","Apartment",1000,3,2,3,0,"Bumi Lot","Leasehold",229999
"Kondominium Kristal","Condominium",1049,3,2,6,1,"Bumi Lot","Leasehold",360000
"Sri Mahligai","Condominium",1173,3,2,8,1,"Bumi Lot","Leasehold",355000
