"Building.Name","Property.Type","Property_Size_in_sq_ft","Bedroom","Bathroom","Amount_of_Facilities","Parking_Lot","Land.Title","Tenure.Type","Price_in_RM"
"Havona","Apartment",953,2,2,6,1,"Non Bumi Lot","Freehold",505000
"Putatan Platinum Apartment","Apartment",850,3,2,7,0,"Non Bumi Lot","Leasehold",275000
"Tropicana 218 Macalister","Condominium",993,3,2,9,2,"Non Bumi Lot","Freehold",1150000
"Cheras Perdana Apartment Block A, B, C","Apartment",850,3,2,3,1,"Non Bumi Lot","Freehold",219999
"M Arisa","Service Residence",878,3,2,0,0,"Non Bumi Lot","Freehold",470000
"Residensi Bintang Bukit Jalil","Condominium",1710,4,3,0,0,"Non Bumi Lot","Leasehold",960000
"-","Apartment",700,3,2,4,1,"Non Bumi Lot","Leasehold",215000
"-","Apartment",700,3,2,4,1,"Non Bumi Lot","Leasehold",239000
"-","Apartment",700,3,2,4,1,"Non Bumi Lot","Leasehold",235000
"-","Apartment",700,3,2,4,1,"Non Bumi Lot","Leasehold",239000
"saujana apartment","Apartment",700,3,2,4,1,"Non Bumi Lot","Leasehold",190000
"saujana apartment","Apartment",700,3,2,4,1,"Non Bumi Lot","Leasehold",180000
"-","Apartment",650,3,2,1,0,"Non Bumi Lot","Leasehold",130000
"-","Apartment",700,3,2,4,1,"Non Bumi Lot","Leasehold",210000
"saujana apartment","Apartment",850,3,2,4,1,"Non Bumi Lot","Leasehold",234000
"-","Apartment",850,3,1,0,1,"Non Bumi Lot","Leasehold",287000
"-","Apartment",710,3,2,0,1,"Non Bumi Lot","Leasehold",184000
"Villamas Apartment","Apartment",1058,3,2,8,1,"Non Bumi Lot","Freehold",330000
"Pangsapuri Akasia","Apartment",811,3,2,0,2,"Non Bumi Lot","Freehold",260000
"Rosana Villa Apartment","Apartment",687,3,2,2,0,"Bumi Lot","Leasehold",140000
"Villa Puteri","Condominium",1175,3,2,7,1,"Bumi Lot","Freehold",430000
"One Damansara","Condominium",1396,4,3,14,2,"Non Bumi Lot","Leasehold",490000
"University Utama Condominium","Condominium",391,1,1,6,1,"Non Bumi Lot","Leasehold",180000
"M Vista","Condominium",841,3,2,9,2,"Non Bumi Lot","Freehold",660000
"V-Residensi 2","Service Residence",1162,3,3,6,0,"Non Bumi Lot","Freehold",415000
"Seri Austin Residence Luxury Apartment","Service Residence",661,1,1,8,1,"Non Bumi Lot","Freehold",308000
"Eco Park","Condominium",1000,3,2,4,0,"Non Bumi Lot","Leasehold",398000
"The Loft @ KK Times Square","Service Residence",1058,2,2,11,1,"Non Bumi Lot","Leasehold",950000
"Pearl Suria","Condominium",1213,2,2,9,2,"Non Bumi Lot","Leasehold",700000
"Baiduri Courts (Bukit Puchong)","Apartment",773,3,2,3,1,"Non Bumi Lot","Freehold",235000
"Gardenz @ One South","Condominium",1200,3,2,12,2,"Non Bumi Lot","Leasehold",400000
"The Elysia Park Residence @ Medini","Condominium",780,2,2,11,2,"Non Bumi Lot","Leasehold",400000
"Gardenview Residence","Condominium",1711,4,3,13,0,"Bumi Lot","Freehold",790000
"222 Residency","Condominium",1100,3,2,11,1,"Non Bumi Lot","Freehold",455000
"Sri Jelatek","Condominium",1100,3,2,9,1,"Bumi Lot","Leasehold",398000
"Platinum Hill PV 3","Condominium",1331,4,2,7,1,"Non Bumi Lot","Freehold",390000
"Seri Mas (Cheras)","Condominium",1400,3,2,10,2,"Non Bumi Lot","Leasehold",385000
"Putrajaya » Putrajaya","Condominium",1200,3,2,14,2,"Non Bumi Lot","Freehold",450000
"Alira Metropark Subang","Service Residence",850,3,2,3,2,"Non Bumi Lot","Freehold",600000
"Lily & Jasmine","Apartment",1024,3,2,2,1,"Non Bumi Lot","Leasehold",303000
"Middleton @ Minden Heights","Condominium",1409,3,3,7,2,"Non Bumi Lot","Freehold",1300000
"Middleton @ Minden Heights","Condominium",1409,3,3,7,2,"Non Bumi Lot","Freehold",1300000
"Kristal Villa","Condominium",1008,3,2,5,0,"Non Bumi Lot","Freehold",244000
"One Sulaman","Condominium",1000,3,2,7,0,"Non Bumi Lot","Leasehold",450000
"University Utama Condominium","Condominium",512,2,1,6,0,"Non Bumi Lot","Leasehold",230000
"The Shore (Kota Kinabalu)","Service Residence",409,2,1,5,0,"Non Bumi Lot","Leasehold",600000
"Vista Millennium Condominiums","Condominium",970,3,2,9,0,"Non Bumi Lot","Leasehold",350000
"Desa Green","Service Residence",935,3,2,11,1,"Non Bumi Lot","Freehold",589000
"Angkasa Apartment","Apartment",850,3,2,4,1,"Non Bumi Lot","Leasehold",310000
"Seri Kembangan","Condominium",1200,3,3,14,2,"Non Bumi Lot","Freehold",499000
"Vista Indah Putra","Condominium",850,3,2,3,0,"Non Bumi Lot","Freehold",289000
"i-Soho @ i-City","Studio",467,1,1,4,0,"Non Bumi Lot","Freehold",299000
"Wave Marina Cove (Pangsapuri Tepian Bayu)","Service Residence",526,1,1,0,1,"Non Bumi Lot","Freehold",400000
"80 Residence","Apartment",987,3,2,7,1,"Non Bumi Lot","Leasehold",420000
"One Sulaman","Condominium",1000,3,2,6,1,"Non Bumi Lot","Leasehold",450000
"Triuni Residences @ The Sanctuary","Condominium",1130,3,2,10,2,"Non Bumi Lot","Freehold",810000
"Pangsapuri Seri Kayan","Apartment",689,3,2,0,1,"Non Bumi Lot","Freehold",170000
"Maplewood Court","Flat",728,3,2,0,0,"Non Bumi Lot","Leasehold",90000
"Pangsapuri Seri Angsana","Flat",650,3,2,1,0,"Non Bumi Lot","Freehold",110000
"Azalea Court","Flat",728,3,2,0,0,"Bumi Lot","Leasehold",80000
"The Holmes","Condominium",1100,3,2,14,2,"Non Bumi Lot","Leasehold",460000
"Pangsapuri Seri Melati","Apartment",900,3,2,2,1,"Bumi Lot","Freehold",140000
"Venice Hill","Condominium",1538,3,2,8,0,"Non Bumi Lot","Freehold",269000
"Taman Suria Shop Apartment","Apartment",886,2,2,0,1,"Non Bumi Lot","Leasehold",360000
"Taman Pusat Kepong Shop Apartment","Apartment",945,3,2,2,2,"Non Bumi Lot","Leasehold",212000
"Residence Bukit Jalil 1","Condominium",1490,3,2,14,2,"Non Bumi Lot","Leasehold",599900
"Idaman Seroja","Apartment",650,3,2,0,1,"Non Bumi Lot","Freehold",209000
"PPR Selayang Mulia","Flat",657,3,1,4,0,"Non Bumi Lot","Leasehold",158000
"The Golden Triangle","Condominium",1198,3,2,6,2,"Non Bumi Lot","Freehold",500000
"The Peak Residences","Condominium",1750,4,3,0,3,"Non Bumi Lot","Freehold",1050000
"Forest Green","Condominium",960,3,2,11,1,"Non Bumi Lot","Freehold",340000
"Gurney Villa","Apartment",1160,3,2,7,2,"Non Bumi Lot","Freehold",890000
"Green Heights Condominiums","Condominium",1399,3,2,4,1,"Non Bumi Lot","Leasehold",480000
"Pangsapuri Salvia","Condominium",805,3,2,4,1,"Bumi Lot","Leasehold",317000
"P' Residence Kuching","Condominium",1153,3,2,13,1,"Non Bumi Lot","Leasehold",490000
"Alpine Tower","Condominium",1474,4,2,8,0,"Non Bumi Lot","Leasehold",700000
"Bukit Jalil Residence 1","Condominium",1523,3,2,14,0,"Non Bumi Lot","Leasehold",639000
"PPR Hiliran Ampang","Flat",650,3,1,5,0,"Bumi Lot","Leasehold",230000
"McKenzie Avenue","Apartment",1520,3,2,0,0,"Non Bumi Lot","Freehold",600000
"Kondominium Kristal","Condominium",969,3,2,5,1,"Bumi Lot","Leasehold",370000
"Melinsung Summer Bay Resort Apartments","Apartment",665,3,2,0,0,"Non Bumi Lot","Leasehold",113400
"Shamelin Star","Service Residence",774,3,2,9,1,"Non Bumi Lot","Leasehold",530000
"Suria Rafflesia","Apartment",700,3,2,5,0,"Non Bumi Lot","Freehold",270000
"Pangsapuri Taman Seri Setanggi","Apartment",850,3,2,1,2,"Bumi Lot","Leasehold",220000
"Pangsapuri Seroja @ Setia Alam","Apartment",680,3,2,0,0,"Bumi Lot","Freehold",155000
"Seri Kembangan","Condominium",1200,3,3,14,2,"Non Bumi Lot","Freehold",499000
"Seri Kembangan","Condominium",1200,3,3,14,2,"Non Bumi Lot","Freehold",499000
"Apartmen Impian (Damansara Damai)","Apartment",700,3,2,2,1,"Bumi Lot","Freehold",195000
"Negeri Sembilan » Nilai","Condominium",1300,4,3,14,2,"Bumi Lot","Freehold",290000
"Lagoon Perdana","Apartment",825,3,2,6,1,"Non Bumi Lot","Leasehold",170000
"Goodyear Court 5","Apartment",786,3,2,3,0,"Non Bumi Lot","Freehold",245000
"Perdana Park","Apartment",803,3,2,6,1,"Non Bumi Lot","Leasehold",185000
"Apartment Tuaran Impian","Apartment",750,3,2,4,0,"Non Bumi Lot","Leasehold",133650
"East Bay (Seri Bayan), Masai","Apartment",1197,3,2,7,0,"Non Bumi Lot","Freehold",350000
"Serene Heights (Miri)","Condominium",1528,3,2,8,0,"Non Bumi Lot","Leasehold",728888
"Cyberia Crescent 2","Condominium",1050,3,2,11,1,"Non Bumi Lot","Freehold",240000
"Cyberia SmartHomes","Condominium",1079,3,2,9,1,"Non Bumi Lot","Freehold",220000
"Galleria Equine Park","Service Residence",452,1,1,8,0,"Non Bumi Lot","Leasehold",252000
"Residensi Laguna Biru 2","Apartment",850,3,2,4,1,"Bumi Lot","Leasehold",275000
"Puri Aiyu","Apartment",932,3,2,7,1,"Non Bumi Lot","Freehold",350000
"Semarak & Penaga Condominium","Condominium",1098,3,2,7,1,"Non Bumi Lot","Leasehold",359999
"Pangsapuri Melur (Sentul)","Apartment",1062,3,2,8,1,"Non Bumi Lot","Leasehold",339999
"Middleton @ Minden Heights","Condominium",1409,3,3,7,2,"Non Bumi Lot","Freehold",1150000
"Taman Impian Indah Apartment (Balakong)","Apartment",915,3,2,3,1,"Non Bumi Lot","Freehold",330000
"Greenfield Residence, Bandar Sunway","Service Residence",581,2,1,8,1,"Non Bumi Lot","Leasehold",520000
"MJC Courtyard Sanctuary","Apartment",806,2,2,0,0,"Non Bumi Lot","Leasehold",339000
"Rumah Selangorku Bangi","Condominium",1045,3,3,8,2,"Non Bumi Lot","Freehold",262000
"Bandar Baru Permas Jaya","Flat",770,3,2,4,0,"Non Bumi Lot","Freehold",190000
"KiPark Selayang","Condominium",1139,4,2,6,1,"Non Bumi Lot","Freehold",390000
"Taman Bukit Jambul","Apartment",700,3,2,3,1,"Non Bumi Lot","Leasehold",198000
"Platinum Hill PV 8","Condominium",1550,4,2,7,2,"Bumi Lot","Freehold",635000
"Seri Nilam (Ampang)","Apartment",650,3,2,4,0,"Bumi Lot","Freehold",180000
"Taman Orkid Shop Apartment Batu 9 Cheras","Apartment",679,3,1,1,0,"Non Bumi Lot","Freehold",180000
"Kepong Freehold, Ready Move In, Furnished, 0%Downpayment","Condominium",1200,3,2,14,2,"Non Bumi Lot","Leasehold",430000
"Symphony Heights (Simfoni Heights)","Condominium",950,3,2,7,1,"Non Bumi Lot","Leasehold",310000
"Jade Residence","Condominium",2044,3,4,2,2,"Non Bumi Lot","Leasehold",1250000
"Bandar Sierra Apartment","Apartment",712,2,1,4,0,"Non Bumi Lot","Leasehold",250000
"Taman Lip Sin Block 1, 3 & 5","Apartment",700,3,2,5,1,"Non Bumi Lot","Freehold",368000
"Bandar Sierra Apartment","Apartment",712,2,1,4,0,"Non Bumi Lot","Leasehold",250000
"Sri Kepayan Apartment","Apartment",902,3,2,3,0,"Non Bumi Lot","Leasehold",360000
"Taman Lip Sin Block 1, 3 & 5","Apartment",700,3,2,4,1,"Non Bumi Lot","Freehold",328000
"Semarak & Penaga Condominium","Condominium",1206,4,2,9,2,"Non Bumi Lot","Leasehold",379999
"Residensi Warnasari 2","Apartment",863,3,2,3,0,"Bumi Lot","Leasehold",270000
"Grace Residence","Condominium",1646,4,3,7,2,"Non Bumi Lot","Freehold",1150000
"Pangsapuri Waja","Apartment",820,3,2,6,0,"Non Bumi Lot","Freehold",225000
"Melawis Apartment","Apartment",1164,5,2,6,0,"Non Bumi Lot","Freehold",295000
"86 Avenue Residence","Condominium",1033,3,2,7,2,"Non Bumi Lot","Freehold",680000
"Suria Kinrara","Service Residence",712,3,2,6,0,"Non Bumi Lot","Leasehold",160000
"Pangsapuri Mayang (Puncak Jalil)","Apartment",800,3,2,3,1,"Non Bumi Lot","Leasehold",190000
"Flat Bukit Indah","Flat",900,3,2,0,0,"Non Bumi Lot","Freehold",190000
"Villamas (Klang)","Apartment",850,3,2,3,1,"Non Bumi Lot","Freehold",170000
"Persanda 3 Apartment","Apartment",928,3,2,3,2,"Non Bumi Lot","Leasehold",300000
"Flat PKNS Seksyen 8","Flat",705,3,1,2,0,"Bumi Lot","Leasehold",270000
"Green Heights Villa","Apartment",1399,3,2,0,0,"Non Bumi Lot","Leasehold",480000
"The Bay Residences","Condominium",1986,4,4,6,0,"Non Bumi Lot","Leasehold",1500000
"skudai apartment","Apartment",915,3,2,0,2,"Non Bumi Lot","Freehold",456000
"Pelangi Damansara","Condominium",932,3,2,4,1,"Non Bumi Lot","Leasehold",399000
"The Zizz","Service Residence",1228,4,2,11,2,"Non Bumi Lot","Leasehold",550000
"Casa Subang","Service Residence",1062,4,2,8,0,"Non Bumi Lot","Freehold",369999
"Impian Meridian","Condominium",995,3,2,8,0,"Non Bumi Lot","Freehold",420000
"SD Apartments","Apartment",811,3,2,5,0,"Non Bumi Lot","Freehold",239999
"Mentari Court","Apartment",771,3,2,0,0,"Non Bumi Lot","Leasehold",250000
"Green Villa Apartment","Apartment",895,3,2,3,1,"Non Bumi Lot","Freehold",290000
"Aman Heights","Condominium",1200,3,2,8,2,"Bumi Lot","Freehold",330000
"Embun Residence","Apartment",1185,3,2,4,2,"Bumi Lot","Freehold",300000
"Mutiara Apartment, Old Klang Road","Apartment",721,3,2,4,1,"Bumi Lot","Leasehold",229999
"Pangsapuri Melur (Sentul)","Apartment",1062,3,2,0,0,"Non Bumi Lot","Leasehold",355000
"Mutiara Apartment, Old Klang Road","Apartment",721,3,2,6,1,"Bumi Lot","Leasehold",229999
"Symphony Heights (Simfoni Heights)","Condominium",1144,3,2,3,1,"Bumi Lot","Leasehold",329999
"Jing Yuen","Condominium",1204,3,2,5,1,"Non Bumi Lot","Freehold",480000
"Taman Seri Sari","Apartment",700,3,2,6,1,"Non Bumi Lot","Freehold",273000
"Greenlane Heights Block G","Condominium",3200,4,4,5,3,"Non Bumi Lot","Freehold",1100000
"Waterside Residence","Condominium",1249,3,2,7,3,"Non Bumi Lot","Freehold",1450000
"Middleton @ Minden Heights","Condominium",1459,3,3,7,2,"Non Bumi Lot","Freehold",1500000
"Mahkota Residence Apartment","Apartment",1237,3,2,6,2,"Non Bumi Lot","Freehold",365000
"i-Zen @ Kiara 1","Condominium",900,2,2,9,1,"Non Bumi Lot","Freehold",720000
"Green Heights Condominiums","Condominium",1399,3,2,7,1,"Non Bumi Lot","Leasehold",480000
"Meridin Medini","Condominium",388,1,1,4,1,"Non Bumi Lot","Leasehold",238000
"Setia Sky Ville","Condominium",1036,3,2,9,2,"Non Bumi Lot","Freehold",688000
"Puncak Saujana","Apartment",1055,3,2,0,0,"Non Bumi Lot","Freehold",269000
"Prima Apartments (Kota Warisan Sepang)","Apartment",743,3,2,3,1,"Non Bumi Lot","Freehold",220000
"pangsapuri merak kangkar pulai","Flat",513,2,1,4,1,"Non Bumi Lot","Freehold",79900
"1 Borneo Tower A Service Apartments","Condominium",880,2,2,3,0,"Bumi Lot","Leasehold",310000
"University Apartments Fasa 2","Apartment",550,2,1,0,0,"Bumi Lot","Freehold",141750
"Greenwich South Condominium","Condominium",1539,3,2,5,1,"Non Bumi Lot","Leasehold",680000
"d'Ryx Residences","Condominium",1056,2,2,0,2,"Non Bumi Lot","Leasehold",695000
"Vista Impiana","Condominium",830,3,2,6,2,"Non Bumi Lot","Leasehold",190000
"Sri Awana Townhouse","Apartment",1400,3,2,7,0,"Non Bumi Lot","Freehold",388000
"ForestVille","Condominium",1000,3,2,8,2,"Non Bumi Lot","Freehold",530000
"Scots Pavilion","Condominium",6000,4,4,14,3,"Non Bumi Lot","Freehold",3200000
"Scots Pavilion","Condominium",1008,3,2,10,2,"Non Bumi Lot","Freehold",690000
"Villa Krystal","Apartment",833,4,2,8,0,"Non Bumi Lot","Freehold",238000
"Kesidang Apartment","Apartment",915,3,2,0,0,"Non Bumi Lot","Freehold",245000
"Ferringhi Residence","Condominium",1493,3,2,13,2,"Non Bumi Lot","Freehold",645000
"Sri Indah","Flat",650,3,2,3,0,"Non Bumi Lot","Leasehold",90000
"Puncak Saujana","Apartment",1055,3,2,14,1,"Non Bumi Lot","Freehold",270000
"Residensi Zamrud","Condominium",1023,3,2,14,2,"Non Bumi Lot","Freehold",300000
"Putra Permai Block D","Apartment",650,3,1,0,0,"Non Bumi Lot","Leasehold",138000
"Millennium Residency","Apartment",795,3,2,5,1,"Bumi Lot","Freehold",280000
"Relau Vista","Condominium",800,3,2,9,1,"Non Bumi Lot","Freehold",320000
"Residensi Permai","Condominium",860,3,2,9,2,"Non Bumi Lot","Freehold",320000
"Summer Place","Condominium",1010,3,2,4,2,"Non Bumi Lot","Leasehold",680000
"Serdang Villa Apartment","Apartment",890,3,2,7,1,"Non Bumi Lot","Leasehold",248000
"Bayu Pandan","Condominium",1050,3,2,8,2,"Non Bumi Lot","Leasehold",418000
"Bayu @ Pandan Jaya","Condominium",1050,3,2,9,2,"Non Bumi Lot","Leasehold",418000
"Summer Place","Condominium",1010,3,2,4,2,"Non Bumi Lot","Leasehold",680000
"Serdang Villa Apartment","Apartment",890,3,2,7,1,"Non Bumi Lot","Leasehold",248000
"Bayu Pandan","Condominium",1050,3,2,8,2,"Non Bumi Lot","Leasehold",418000
"Bayu @ Pandan Jaya","Condominium",1050,3,2,9,2,"Non Bumi Lot","Leasehold",418000
"Permai Ria (Jalan Ipoh)","Condominium",860,3,2,8,1,"Non Bumi Lot","Leasehold",258000
"Platinum Splendor Residensi Semarak","Condominium",1184,4,2,10,2,"Bumi Lot","Leasehold",500000
"Vista Sentul Pasar","Condominium",1200,3,3,3,3,"Non Bumi Lot","Freehold",528000
"Residensi Laguna (Belvedere Service Apt)","Service Residence",931,3,2,5,1,"Bumi Lot","Leasehold",306000
"Jesselton Residences","Condominium",2266,5,4,13,2,"Non Bumi Lot","Leasehold",2199999
"Aeropod","Service Residence",438,1,1,6,0,"Non Bumi Lot","Freehold",405000
"Symphony Heights (Simfoni Heights)","Condominium",950,3,2,3,1,"Non Bumi Lot","Leasehold",299999
"Semarak & Penaga Condominium","Condominium",926,3,2,9,1,"Non Bumi Lot","Leasehold",299999
"Semarak & Penaga Condominium","Condominium",1098,3,2,7,1,"Non Bumi Lot","Leasehold",359999
"Semarak & Penaga Condominium","Condominium",1206,4,2,9,2,"Non Bumi Lot","Leasehold",375000
"Atlantis Residences","Service Residence",689,1,1,9,0,"Non Bumi Lot","Leasehold",320000
"Orchis Apartment, Bandar Parklands","Apartment",730,3,2,0,1,"Non Bumi Lot","Freehold",330000
"Quayside","Condominium",3072,3,5,9,3,"Non Bumi Lot","Freehold",2800000
"Danau Impian","Condominium",918,3,2,11,1,"Non Bumi Lot","Leasehold",305000
"Flat PKNS Seksyen 20","Apartment",549,2,1,0,0,"Non Bumi Lot","Leasehold",140000
"Sri Putra Apartment","Apartment",900,3,2,2,2,"Non Bumi Lot","Freehold",200000
"The Maritime","Service Residence",625,2,1,3,1,"Non Bumi Lot","Leasehold",529000
"LAVENDAR SERVICE APARTMENT","Apartment",828,2,2,1,0,"Non Bumi Lot","Freehold",158000
"Country Heights Apartment Fasa 3","Apartment",455,2,1,0,0,"Bumi Lot","Freehold",144000
"Atlantis Residences","Service Residence",689,1,1,9,0,"Non Bumi Lot","Leasehold",290000
"Ocean Palms (Permata Idaman)","Condominium",1033,2,2,6,0,"Non Bumi Lot","Freehold",308000
"Queens Residences @ Queens Waterfront","Condominium",1400,4,3,0,2,"Non Bumi Lot","Freehold",2300000
"Pangsapuri Sri Shamelin","Apartment",615,3,1,4,0,"Bumi Lot","Leasehold",210000
"Parkland Residence @ Sungai Melaka","Service Residence",1088,3,2,4,0,"Non Bumi Lot","Freehold",448000
"Enggang Apartment","Apartment",680,3,2,3,1,"Non Bumi Lot","Freehold",165000
"Mewah Court (Jelutong)","Apartment",850,3,2,3,1,"Non Bumi Lot","Leasehold",310000
"Horizon Residence Luxury Apartment","Apartment",1213,3,2,12,1,"Non Bumi Lot","Freehold",485000
"Arang Road Flat","Flat",1,3,2,1,0,"Non Bumi Lot","Leasehold",148000
"Sri Lanang","Flat",750,3,2,0,0,"Non Bumi Lot","Freehold",145000
"Mont Residence @ Penang","Condominium",1226,3,2,8,2,"Non Bumi Lot","Freehold",790000
"Sentul Utama Condominium","Condominium",877,3,2,14,1,"Non Bumi Lot","Leasehold",280000
"Alam Prima","Apartment",850,3,2,5,1,"Non Bumi Lot","Freehold",295000
"Residensi Laguna Biru 2","Apartment",850,3,2,4,1,"Non Bumi Lot","Leasehold",230000
"Pinang Emas Flat","Flat",560,3,1,1,0,"Non Bumi Lot","Freehold",120000
"Pangsapuri Rimba 2","Apartment",743,3,2,4,0,"Bumi Lot","Freehold",210000
"Bandar Tasik Selatan (Low Cost)","Apartment",657,3,1,6,0,"Non Bumi Lot","Leasehold",180000
"Elaeis 2","Condominium",936,3,2,5,1,"Non Bumi Lot","Freehold",360000
"Pangsapuri Resak","Apartment",850,3,2,4,1,"Bumi Lot","Leasehold",185000
"Seri Manis Condominium","Condominium",122774,3,2,6,2,"Non Bumi Lot","Leasehold",688888
"Taman Flora Heights","Flat",650,3,1,0,0,"Non Bumi Lot","Freehold",130000
"Flat Lake 64","Flat",650,3,2,0,0,"Non Bumi Lot","Freehold",118000
"Manhattan Suites @ ITCC","Service Residence",510,1,1,4,1,"Non Bumi Lot","Freehold",363000
"Kingfisher @ Putatan","Condominium",1065,3,2,7,2,"Non Bumi Lot","Leasehold",460000
"Permai Puteri","Apartment",833,3,2,8,1,"Non Bumi Lot","Leasehold",255000
"Taman Perkasa (Hulu Langat)","Apartment",800,3,2,1,1,"Bumi Lot","Freehold",185000
"Meru Heights Residences @ Scientex Meru","Condominium",765,2,2,6,1,"Non Bumi Lot","Freehold",178000
"Pangsapuri Permai Putera","Apartment",1018,3,2,6,1,"Non Bumi Lot","Leasehold",288000
"Mutiara Court","Apartment",880,3,2,4,1,"Non Bumi Lot","Leasehold",188000
"Chonglin Park","Flat",1392,3,2,3,1,"Non Bumi Lot","Leasehold",280000
"Tebrau City Residences","Service Residence",1151,3,2,3,1,"Non Bumi Lot","Freehold",400000
"Bennington Residences @ SkyArena","Condominium",1570,4,3,9,3,"Non Bumi Lot","Leasehold",680000
"Lagenda Tasek Luxurious Suites","Service Residence",2088,5,3,14,2,"Non Bumi Lot","Leasehold",578000
"The Quartz Residence","Condominium",904,3,2,2,2,"Non Bumi Lot","Freehold",438000
"Taman Daya - Jalan Nibong 14","Flat",570,2,1,5,1,"Non Bumi Lot","Freehold",175000
"The Senai Garden","Apartment",715,1,1,12,1,"Non Bumi Lot","Freehold",295000
"Impiana @ East Ledang","Condominium",1206,3,3,0,1,"Non Bumi Lot","Freehold",448000
"Mont Residence @ Penang","Condominium",900,2,2,8,2,"Non Bumi Lot","Freehold",500000
"Mont Residence @ Penang","Condominium",1200,3,2,8,2,"Non Bumi Lot","Freehold",708000
"Simfoni @ Eco Majestic","Apartment",750,3,2,6,1,"Bumi Lot","Freehold",250000
"Sfera Residency","Others",996,3,2,12,2,"Non Bumi Lot","Leasehold",558000
"Pangsapuri Damai","Apartment",1073,3,2,5,0,"Non Bumi Lot","Leasehold",550000
"Taman Cheng Ria","Flat",860,3,2,0,0,"Non Bumi Lot","Leasehold",120000
"Apartment Darau Angkasa","Apartment",850,3,2,4,1,"Non Bumi Lot","Leasehold",300000
"Residensi Fantasi","Condominium",1288,3,2,6,1,"Non Bumi Lot","Leasehold",880000
"Pangsapuri Bukit Beruang Permai","Apartment",882,3,2,3,1,"Non Bumi Lot","Leasehold",174000
"Emerald Hills","Condominium",840,2,2,12,2,"Non Bumi Lot","Freehold",485000
"Flat Bukit Indah","Flat",770,3,2,0,0,"Non Bumi Lot","Freehold",190000
"Arc @ Austin Hills","Service Residence",650,2,2,13,0,"Non Bumi Lot","Freehold",308000
"Cameron Fair Serviced Suites @ Tanah Rata","Service Residence",843,3,2,14,1,"Bumi Lot","Leasehold",341000
"(0%DP+25K Cashback) Lowest Density KL Project + KLCC View, Ready 2024!","Condominium",1044,3,2,12,2,"Non Bumi Lot","Leasehold",570000
"Final Clearance ! 950sf only 450k Cheapest Sentul Project, Ready 2024!","Condominium",950,3,2,12,2,"Non Bumi Lot","Freehold",450000
"Cyber City Apartment Fasa 1","Apartment",383,1,1,0,0,"Bumi Lot","Leasehold",144000
"Bahagia Residences @ Desa Bahagia","Apartment",775,3,2,3,1,"Non Bumi Lot","Leasehold",340000
"Pangsapuri Kenanga (Anggerik Perdana)","Apartment",818,3,2,4,1,"Bumi Lot","Leasehold",240000
"Taman Bukit Cheras","Apartment",540,2,1,5,1,"Non Bumi Lot","Freehold",196000
"Tropicana Landmark","Condominium",2219,3,3,7,3,"Non Bumi Lot","Leasehold",1213200
"Sri Indah Kondominium","Condominium",1270,3,2,9,2,"Non Bumi Lot","Leasehold",480760
"Sentul Park Apartment","Apartment",733,3,2,8,0,"Non Bumi Lot","Freehold",285000
"Selangorku PR1MA Lakefront Homes , Cyberjaya","Apartment",850,3,2,11,2,"Bumi Lot","Freehold",380000
"Centro View","Condominium",1300,3,2,7,1,"Non Bumi Lot","Freehold",435000
"Residence Bukit Jalil RBJ","Condominium",1550,3,2,14,3,"Non Bumi Lot","Leasehold",618800
"Residensi Bukit Jalil","Condominium",1400,4,2,14,2,"Non Bumi Lot","Freehold",604000
"Putatan Platinum Apartment","Apartment",850,3,2,5,1,"Non Bumi Lot","Leasehold",260000
"Residensi Bukit Jalil","Condominium",1530,3,2,8,0,"Non Bumi Lot","Freehold",628888
"Pandan Court","Apartment",764,3,1,5,0,"Bumi Lot","Leasehold",160000
"Triuni Residences @ The Sanctuary","Condominium",1130,3,2,9,2,"Non Bumi Lot","Freehold",820000
"Jalan Sentul","Flat",700,3,2,1,0,"Non Bumi Lot","Leasehold",195000
"Putatan Platinum Apartment","Apartment",850,3,2,7,0,"Non Bumi Lot","Freehold",252000
"Astana Alam","Apartment",720,3,2,1,0,"Bumi Lot","Leasehold",190000
"Laguna Biru 1","Apartment",850,3,2,4,0,"Bumi Lot","Leasehold",185000
"-","Service Residence",951,3,2,9,2,"Non Bumi Lot","Leasehold",598000
"Taman Lone Pine (Medium Low Cost)","Apartment",550,2,1,3,1,"Non Bumi Lot","Freehold",210000
"Harmoni @ Eco Majestic","Apartment",900,3,2,6,2,"Non Bumi Lot","Freehold",265000
"MiNest Residence","Service Residence",1239,4,3,0,2,"Non Bumi Lot","Freehold",550000
"Banjaria Court","Condominium",991,3,2,11,1,"Bumi Lot","Leasehold",390000
"Pangsapuri Sri Shamelin","Apartment",615,3,1,4,1,"Bumi Lot","Leasehold",210000
"Pangsapuri Bukit Beruang Utama","Apartment",850,3,2,7,1,"Non Bumi Lot","Freehold",150000
"Kipark","Apartment",890,3,2,9,1,"Non Bumi Lot","Leasehold",315000
"Kipark","Apartment",890,3,2,10,1,"Non Bumi Lot","Leasehold",315000
"8scape Residences @ Sutera","Apartment",1035,3,2,14,1,"Non Bumi Lot","Freehold",485000
"Kepong Sentral Condominium","Condominium",1010,3,2,10,0,"Non Bumi Lot","Leasehold",248000
"Laksamana Puri Condominium","Condominium",9376,4,2,8,1,"Bumi Lot","Leasehold",250000
"Pangsapuri Cemara (Seri Kembangan)","Apartment",850,3,2,6,0,"Non Bumi Lot","Leasehold",300000
